what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1785837601421
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1785837623031
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785837625642
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785837705091
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785837708029
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785837709291
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785837717508
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785837731092
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1785837732575
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785837735559
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785837736709
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1785837736954
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1785837738593
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1785837738975
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1785837744329
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785837748955
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785837752157
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1785837796938
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785837798111
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785837847590
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785837871190
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785838136388
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1785838139258
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1785838139379
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1785838158910
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785838159558
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785838169909
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785838175281
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1785838175311
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785838193979
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1785838196174
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1785838196522
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785838197293
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785838201466
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785838257885
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1785838257914
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1785838260914
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1785838266561
